日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-27,'000796,凯撒旅业,6.88,7.16,6.86,7.15,7.07,-0.19,-2.6874,0.7821,6280152,44043955.94,5524641775.04,5524641775.04
2020-03-26,'000796,凯撒旅业,7.07,7.31,7.07,7.11,7.23,-0.16,-2.213,0.891,7154978,51312911.96,5677211824.06,5677211824.06
2020-03-25,'000796,凯撒旅业,7.23,7.33,7.05,7.17,7.12,0.11,1.5449,1.6107,12934065,93065049.24,5805691865.34,5805691865.34
2020-03-24,'000796,凯撒旅业,7.12,7.57,6.95,7.49,7.38,-0.26,-3.523,1.431,11490906,82271410.54,5717361836.96,5717361836.96
2020-03-23,'000796,凯撒旅业,7.38,7.66,7.2,7.54,7.96,-0.58,-7.2864,1.5108,12131510,90236934.2,5926141904.04,5926141904.04
2020-03-20,'000796,凯撒旅业,7.96,8.16,7.43,7.66,7.64,0.32,4.1885,2.2114,17757732,137393261.08,6391882053.68,6391882053.68
2020-03-19,'000796,凯撒旅业,7.64,8.2,7.35,8.03,7.88,-0.24,-3.0457,2.2474,18046336,137273285.01,6134921971.12,6134921971.12
2020-03-18,'000796,凯撒旅业,7.88,8.35,7.87,7.98,7.89,-0.01,-0.1267,1.9547,15696116,127227807.1,6327642033.04,6327642033.04
2020-03-17,'000796,凯撒旅业,7.89,8.22,7.58,8.1,8.12,-0.23,-2.8325,1.8844,15131540,118578727.57,6335672035.62,6335672035.62
2020-03-16,'000796,凯撒旅业,8.12,8.61,8.0,8.4,8.45,-0.33,-3.9053,2.4208,19439241,161994715.99,6520362094.96,6520362094.96
2020-03-13,'000796,凯撒旅业,8.45,8.73,7.55,7.6,8.16,0.29,3.5539,2.9649,23808395,198159422.12,6785352180.1,6785352180.1
2020-03-12,'000796,凯撒旅业,8.16,8.31,7.87,7.95,8.31,-0.15,-1.8051,2.2083,17732626,143311029.52,6552482105.28,6552482105.28
2020-03-11,'000796,凯撒旅业,8.31,8.77,7.89,7.91,7.97,0.34,4.266,4.3241,34722721,293175563.4,6672932143.98,6672932143.98
2020-03-10,'000796,凯撒旅业,7.97,8.0,7.45,7.49,7.58,0.39,5.1451,1.3714,11012553,85526924.77,6399912056.26,6399912056.26
2020-03-09,'000796,凯撒旅业,7.58,7.78,7.54,7.68,7.79,-0.21,-2.6958,1.4682,11789290,89887481.1,6086741955.64,6086741955.64
2020-03-06,'000796,凯撒旅业,7.79,7.9,7.43,7.48,7.59,0.2,2.635,1.2623,10136086,78435791.97,6255372009.82,6255372009.82
2020-03-05,'000796,凯撒旅业,7.59,7.64,7.44,7.44,7.38,0.21,2.8455,1.186,9523790,71784979.7,6094771958.22,6094771958.22
2020-03-04,'000796,凯撒旅业,7.38,7.4,7.19,7.32,7.3,0.08,1.0959,0.7309,5868755,42928969.59,5926141904.04,5926141904.04
2020-03-03,'000796,凯撒旅业,7.3,7.55,7.3,7.44,7.34,-0.04,-0.545,0.9309,7475375,55401671.74,5861901883.4,5861901883.4
2020-03-02,'000796,凯撒旅业,7.34,7.41,7.13,7.16,7.23,0.11,1.5214,0.8224,6604094,48161047.02,5894021893.72,5894021893.72
2020-02-28,'000796,凯撒旅业,7.23,7.59,7.18,7.51,7.84,-0.61,-7.7806,1.0611,8520363,63136126.86,5805691865.34,5805691865.34
2020-02-27,'000796,凯撒旅业,7.84,7.98,7.76,7.82,7.79,0.05,0.6418,1.1169,8968551,70333945.54,6295522022.72,6295522022.72
2020-02-26,'000796,凯撒旅业,7.79,8.06,7.7,7.7,8.01,-0.22,-2.7466,0.9915,7961665,62752352.77,6255372009.82,6255372009.82
2020-02-25,'000796,凯撒旅业,8.01,8.22,7.68,7.85,8.18,-0.17,-2.0782,1.913,15361424,121065412.79,6432032066.58,6432032066.58
2020-02-24,'000796,凯撒旅业,8.18,8.4,8.05,8.4,8.45,-0.27,-3.1953,1.8942,15210624,124136540.54,6568542110.44,6568542110.44
2020-02-21,'000796,凯撒旅业,8.45,8.57,8.16,8.29,8.68,-0.23,-2.6498,2.295,18428852,154997696.94,6785352180.1,6785352180.1
2020-02-20,'000796,凯撒旅业,8.68,8.69,7.93,7.93,7.9,0.78,9.8734,4.2132,33831917,288469804.1,6970042239.44,6970042239.44
2020-02-19,'000796,凯撒旅业,7.9,8.04,7.76,7.92,7.92,-0.02,-0.2525,1.4176,11383399,89741795.03,6343702038.2,6343702038.2
2020-02-18,'000796,凯撒旅业,7.92,8.19,7.65,7.86,7.49,0.43,5.741,1.8126,14555305,114313728.98,6359762043.36,6359762043.36
2020-02-17,'000796,凯撒旅业,7.49,7.53,7.2,7.2,7.28,0.21,2.8846,0.9673,7767414,57510681.45,6014471932.42,6014471932.42
2020-02-14,'000796,凯撒旅业,7.28,7.37,7.21,7.28,7.29,-0.01,-0.1372,0.578,4641355,33861158.01,5845841878.24,5845841878.24
2020-02-13,'000796,凯撒旅业,7.29,7.4,7.23,7.35,7.4,-0.11,-1.4865,0.5988,4808596,35165833.94,5853871880.82,5853871880.82
2020-02-12,'000796,凯撒旅业,7.4,7.45,7.26,7.34,7.4,0.0,0.0,1.0129,8133682,59790316.38,5942201909.2,5942201909.2
2020-02-11,'000796,凯撒旅业,7.4,7.73,7.26,7.47,7.54,-0.14,-1.8568,1.2209,9804031,72699790.92,5942201909.2,5942201909.2
2020-02-10,'000796,凯撒旅业,7.54,7.54,6.99,7.07,7.19,0.35,4.8679,1.6709,13417453,98072038.31,6054621945.32,6054621945.32
2020-02-07,'000796,凯撒旅业,7.19,7.26,6.72,6.77,6.84,0.35,5.117,2.0649,16581545,116100554.65,5773571855.02,5773571855.02
2020-02-06,'000796,凯撒旅业,6.84,6.99,6.48,6.69,6.75,0.09,1.3333,2.1239,17054570,115250489.76,5492521764.72,5492521764.72
